,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-09-29,100.589996,100.690002,98.040001,99.620003,93.51429,142718700
1,2014-10-06,99.949997,102.379997,98.309998,100.730003,94.55624399999999,280258200
2,2014-10-13,101.33000200000001,101.779999,95.18,97.66999799999999,91.68379200000001,358539800
3,2014-10-20,98.32,105.489998,98.220001,105.220001,98.77104200000001,358532900
4,2014-10-27,104.849998,108.040001,104.699997,108.0,101.380676,220230600
5,2014-11-03,108.220001,110.300003,107.720001,109.010002,102.328766,199952900
6,2014-11-10,109.019997,114.190002,108.400002,114.18,107.646675,205166700
7,2014-11-17,114.269997,117.57,113.300003,116.470001,109.805626,233414700
8,2014-11-24,116.849998,119.75,116.620003,118.93,112.12486299999999,181873900
9,2014-12-01,118.809998,119.25,111.269997,115.0,108.41974599999999,266589700
10,2014-12-08,114.099998,114.849998,109.349998,109.730003,103.45129399999999,259868000
11,2014-12-15,110.699997,113.239998,106.260002,111.779999,105.38398000000001,328856600
12,2014-12-22,112.160004,114.519997,111.970001,113.989998,107.467529,119396500
13,2014-12-29,113.790001,114.769997,107.349998,109.33000200000001,103.07418100000001,152088400
14,2015-01-05,108.290001,113.25,104.629997,112.010002,105.60083,283252500
15,2015-01-12,112.599998,112.800003,105.199997,105.989998,99.925285,303607000
16,2015-01-19,107.839996,113.75,106.5,112.980003,106.51534299999999,198737000
17,2015-01-26,113.739998,120.0,109.029999,117.160004,110.45614599999999,465842700
18,2015-02-02,118.050003,120.510002,116.08000200000001,118.93,112.12486299999999,270757300
19,2015-02-09,118.550003,127.480003,118.43,127.08000200000001,120.28137199999999,303206800
20,2015-02-16,127.489998,129.5,126.91999799999999,129.5,122.57191499999999,194354900
21,2015-02-23,130.020004,133.600006,126.610001,128.46000700000002,121.58755500000001,368216200
22,2015-03-02,129.25,130.279999,125.760002,126.599998,119.82704199999999,246938500
23,2015-03-09,127.959999,129.570007,121.629997,123.589996,116.978073,326514100
24,2015-03-16,123.879997,129.25,122.870003,125.900002,119.164505,266672900
25,2015-03-23,127.120003,128.03999299999998,122.599998,123.25,116.656273,209326300
26,2015-03-30,124.050003,126.489998,123.099998,125.32,118.615524,162031800
27,2015-04-06,124.470001,128.119995,124.33000200000001,127.099998,120.300301,182207500
28,2015-04-13,128.369995,128.570007,124.459999,124.75,118.07601899999999,171186100
29,2015-04-20,125.57,130.630005,125.16999799999999,130.279999,123.31015,207440700
30,2015-04-27,132.309998,134.53999299999998,124.58000200000001,128.949997,122.05131499999999,420972300
31,2015-05-04,129.5,130.570007,123.360001,127.620003,120.79248,271892000
32,2015-05-11,127.389999,129.490005,124.82,128.770004,122.39006,208301500
33,2015-05-18,128.380005,132.970001,128.360001,132.53999299999998,125.97325900000001,217297400
34,2015-05-25,132.600006,132.91000400000001,129.119995,130.279999,123.82524099999999,198148600
35,2015-06-01,130.279999,131.389999,128.360001,128.649994,122.276009,170746700
36,2015-06-08,128.899994,130.179993,125.620003,127.16999799999999,120.869339,220114600
37,2015-06-15,126.099998,128.309998,125.709999,126.599998,120.327568,198525200
38,2015-06-22,127.489998,129.800003,126.510002,126.75,120.47013899999999,195594000
39,2015-06-29,125.459999,126.940002,124.480003,126.440002,120.175491,150981900
40,2015-07-06,124.940002,126.230003,119.220001,123.279999,117.17206599999999,274944900
41,2015-07-13,125.029999,129.619995,124.32,129.619995,123.19793700000001,189244900
42,2015-07-20,130.970001,132.970001,121.989998,124.5,118.33161899999999,344269000
43,2015-07-27,123.089996,123.910004,120.910004,121.300003,115.290154,191598600
44,2015-08-03,121.5,122.57,112.099998,115.519997,109.79653200000001,385000600
45,2015-08-10,116.529999,119.989998,109.629997,115.959999,110.71360800000001,344717200
46,2015-08-17,116.040001,117.650002,105.650002,105.760002,100.975098,319668200
47,2015-08-24,94.870003,113.309998,92.0,113.290001,108.164406,500363000
48,2015-08-31,112.029999,114.529999,107.360001,109.269997,104.326286,298194200
49,2015-09-07,111.75,114.209999,109.769997,114.209999,109.042786,252662700
50,2015-09-14,116.58000200000001,116.889999,111.870003,113.449997,108.317177,277276000
51,2015-09-21,113.66999799999999,116.690002,112.370003,114.709999,109.520172,242696300
52,2015-09-28,113.849998,114.57,107.309998,110.379997,105.38606999999999,313896300
53,2015-10-05,109.879997,112.279999,108.209999,112.120003,107.04733999999999,261772800
54,2015-10-12,112.730003,112.75,109.559998,111.040001,106.016205,184885000
55,2015-10-19,110.800003,119.230003,110.110001,119.08000200000001,113.69245900000001,221354200
56,2015-10-26,118.08000200000001,121.220001,113.989998,119.5,114.09346000000001,322362200
57,2015-11-02,120.800003,123.82,119.610001,121.059998,115.58286299999999,195203400
58,2015-11-09,120.959999,121.809998,112.269997,112.339996,107.716499,216555300
59,2015-11-16,111.379997,119.91999799999999,111.0,119.300003,114.390068,189981200
60,2015-11-23,119.269997,119.730003,117.120003,117.809998,112.96138799999999,109720400
61,2015-11-30,117.989998,119.410004,114.220001,119.029999,114.13118,206765800
62,2015-12-07,118.980003,119.860001,112.849998,113.18,108.52195,188745500
63,2015-12-14,112.18,112.800003,105.809998,106.029999,101.666199,315106400
64,2015-12-21,107.279999,109.0,105.57,108.029999,103.5839,126607800
65,2015-12-28,107.589996,109.43,104.82,105.260002,100.92789499999999,123484500
66,2016-01-04,102.610001,105.849998,96.43,96.959999,92.96949000000001,343790200
67,2016-01-11,98.970001,101.190002,95.360001,97.129997,93.132492,303513300
68,2016-01-18,98.410004,101.459999,93.41999799999999,101.41999799999999,97.245926,243384100
69,2016-01-25,101.519997,101.529999,92.389999,97.339996,93.33384699999999,380336500
70,2016-02-01,96.470001,97.33000200000001,93.690002,94.019997,90.150482,217154800
71,2016-02-08,93.129997,96.349998,92.589996,93.989998,90.61075600000001,231122300
72,2016-02-15,95.019997,98.889999,94.610001,96.040001,92.587051,168316300
73,2016-02-22,96.309998,98.019997,93.32,96.910004,93.425774,159052900
74,2016-02-29,96.860001,103.75,96.650002,103.010002,99.30645,201803800
75,2016-03-07,102.389999,102.83000200000001,100.150002,102.260002,98.583405,155514300
76,2016-03-14,101.910004,106.5,101.779999,105.91999799999999,102.11183199999999,182073200
77,2016-03-21,105.93,107.650002,104.889999,105.66999799999999,101.870811,119783600
78,2016-03-28,106.0,110.41999799999999,104.879997,109.989998,106.03549199999999,147965000
79,2016-04-04,110.41999799999999,112.190002,108.120003,108.660004,104.753311,145722600
80,2016-04-11,108.970001,112.389999,108.660004,109.849998,105.90052800000001,162310000
81,2016-04-18,108.889999,108.949997,104.620003,105.68,101.880447,189065500
82,2016-04-25,105.0,105.650002,92.510002,93.739998,90.36975100000001,349424100
83,2016-05-02,93.970001,95.900002,91.849998,92.720001,89.386421,225365600
84,2016-05-09,93.0,93.769997,89.470001,90.519997,87.79682199999999,216049800
85,2016-05-16,92.389999,95.43,91.650002,95.220001,92.355438,212707200
86,2016-05-23,95.870003,100.730003,95.66999799999999,100.349998,97.33109300000001,203888300
87,2016-05-30,99.599998,100.400002,96.629997,97.91999799999999,94.97419000000001,139735000
88,2016-06-06,97.989998,101.889999,97.550003,98.83000200000001,95.856812,124864400
89,2016-06-13,98.690002,99.120003,95.300003,95.33000200000001,92.462112,191732600
90,2016-06-20,96.0,96.889999,92.650002,93.400002,90.590179,206729000
91,2016-06-27,93.0,96.470001,91.5,95.889999,93.005264,184328400
92,2016-07-04,95.389999,96.889999,94.370003,96.68,93.771507,112706000
93,2016-07-11,96.75,99.300003,96.730003,98.779999,95.808327,142910600
94,2016-07-18,98.699997,101.0,98.309998,98.660004,95.69194,147565500
95,2016-07-25,98.25,104.550003,96.41999799999999,104.209999,101.074974,256571000
96,2016-08-01,104.410004,107.650002,104.0,107.480003,104.246605,170149200
97,2016-08-08,107.519997,108.940002,107.160004,108.18,105.49394199999999,124505800
98,2016-08-15,108.139999,110.230003,108.08000200000001,109.360001,106.64463799999999,132371400
99,2016-08-22,108.860001,109.32,106.309998,106.940002,104.28473699999999,123605500
100,2016-08-29,106.620003,108.0,105.5,107.730003,105.055122,133000600
101,2016-09-05,107.900002,108.760002,103.129997,103.129997,100.569328,168803700
102,2016-09-12,102.650002,116.129997,102.529999,114.91999799999999,112.066589,388228200
103,2016-09-19,115.190002,116.18,111.550003,112.709999,109.911469,201095700
104,2016-09-26,111.639999,114.639999,111.550003,113.050003,110.24303400000001,156384000
105,2016-10-03,112.709999,114.559998,112.279999,114.059998,111.227943,126029400
106,2016-10-10,115.019997,118.690002,114.720001,117.629997,114.709305,208708400
107,2016-10-17,117.33000200000001,118.209999,113.800003,116.599998,113.704872,115531500
108,2016-10-24,117.099998,118.360001,113.309998,113.720001,110.89639299999999,210225600
109,2016-10-31,113.650002,114.230003,108.110001,108.839996,106.13755,156346500
110,2016-11-07,110.08000200000001,111.720001,105.83000200000001,108.43,106.28061699999999,207019500
111,2016-11-14,107.709999,110.540001,104.08000200000001,110.059998,107.878304,198341400
112,2016-11-21,110.120003,112.41999799999999,110.010002,111.790001,109.57401999999999,94132400
113,2016-11-28,111.43,112.470001,108.849998,109.900002,107.72148100000001,155500000
114,2016-12-05,110.0,114.699997,108.25,113.949997,111.6912,151989600
115,2016-12-12,113.290001,116.730003,112.489998,115.970001,113.671158,195015600
116,2016-12-19,115.800003,117.5,115.589996,116.519997,114.21024299999999,113254700
117,2016-12-26,116.519997,118.019997,115.43,115.82,113.52413200000001,84828600
118,2017-01-02,115.800003,118.160004,114.760002,117.910004,115.572708,103845500
119,2017-01-09,117.949997,119.93,117.940002,119.040001,116.680298,138810700
120,2017-01-16,118.339996,120.5,118.220001,120.0,117.621269,116348000
121,2017-01-23,120.0,122.440002,119.5,121.949997,119.53260800000001,124539300
122,2017-01-30,120.93,130.490005,120.620003,129.080002,126.52127800000001,249781200
123,2017-02-06,129.130005,132.940002,128.899994,132.119995,129.501022,136449200
124,2017-02-13,133.080002,136.270004,132.75,135.720001,133.60643000000002,136667500
125,2017-02-20,136.229996,137.479996,135.279999,136.66000400000001,134.53178400000002,87908900
126,2017-02-27,137.139999,140.279999,136.279999,139.779999,137.60318,127474000
127,2017-03-06,139.369995,139.979996,137.050003,139.139999,136.973145,99672200
128,2017-03-13,138.850006,141.020004,138.820007,139.990005,137.809906,121539600
129,2017-03-20,140.399994,142.800003,139.729996,140.639999,138.449783,129674000
130,2017-03-27,139.389999,144.5,138.619995,143.66000400000001,141.422775,127008900
131,2017-04-03,143.71000700000002,145.46000700000002,143.050003,143.33999599999999,141.107742,105416200
132,2017-04-10,143.600006,143.880005,140.059998,141.050003,138.853424,87485700
133,2017-04-17,141.479996,142.919998,140.449997,142.270004,140.054428,89248500
134,2017-04-24,143.5,144.899994,143.179993,143.649994,141.412903,91153700
135,2017-05-01,145.100006,148.979996,144.270004,148.96000700000002,146.640244,175351700
136,2017-05-08,149.029999,156.419998,149.029999,156.100006,153.669052,173470600
137,2017-05-15,156.009995,156.649994,149.71000700000002,153.059998,151.29830900000002,157354900
138,2017-05-22,154.0,154.899994,152.669998,153.610001,151.84198,103000000
139,2017-05-29,153.419998,155.449997,152.220001,155.449997,153.660797,88752900
140,2017-06-05,154.33999599999999,155.979996,146.020004,148.979996,147.265274,159159700
141,2017-06-12,145.740005,147.5,142.199997,142.270004,140.632507,220530400
142,2017-06-19,143.66000400000001,147.16000400000001,143.66000400000001,146.279999,144.596344,133253000
143,2017-06-26,147.169998,148.279999,142.279999,144.020004,142.36236599999998,127060200
144,2017-07-03,144.880005,145.300003,142.41000400000001,144.179993,142.520508,79158400
145,2017-07-10,144.110001,149.330002,143.369995,149.03999299999998,147.32457,111088400
146,2017-07-17,148.820007,151.740005,148.570007,150.270004,148.540421,106081600
147,2017-07-24,150.580002,153.990005,147.300003,149.5,147.779282,105818100
148,2017-07-31,149.899994,159.75,148.130005,156.389999,154.589981,172808500
149,2017-08-07,157.059998,161.830002,154.630005,157.479996,155.667435,151269100
150,2017-08-14,159.320007,162.509995,156.720001,157.5,156.298584,134628500
151,2017-08-21,157.5,160.740005,155.110001,159.860001,158.640594,112671200
152,2017-08-28,160.139999,164.940002,159.929993,164.050003,162.79861499999998,126128700
153,2017-09-04,163.75,164.25,158.529999,158.630005,157.419983,101660200
154,2017-09-11,160.5,163.96000700000002,157.91000400000001,159.880005,158.66043100000002,220582600
155,2017-09-18,160.110001,160.5,150.559998,151.889999,150.73138400000002,186188500
156,2017-09-25,149.990005,154.720001,149.16000400000001,154.119995,152.944366,154856800
157,2017-10-02,154.259995,155.490005,152.46000700000002,155.300003,154.115372,93784300
158,2017-10-09,155.809998,158.0,155.100006,156.990005,155.792496,81304800
159,2017-10-16,157.899994,160.869995,155.020004,156.25,155.058121,126051300
160,2017-10-23,156.889999,163.600006,155.270004,163.050003,161.806259,122403300
161,2017-10-30,163.889999,174.259995,163.720001,172.5,171.184174,215177400
162,2017-11-06,172.369995,176.240005,171.720001,174.669998,173.337601,138425400
163,2017-11-13,173.5,174.5,168.380005,170.149994,169.459091,116459700
164,2017-11-20,170.28999299999998,175.5,169.559998,174.970001,174.259521,81009300
165,2017-11-27,175.050003,175.080002,167.16000400000001,171.050003,170.355438,170098500
166,2017-12-04,172.479996,172.619995,166.46000700000002,169.369995,168.682251,137481100
167,2017-12-11,169.199997,174.169998,168.78999299999998,173.970001,173.26358000000002,139147200
168,2017-12-18,174.880005,177.199997,173.25,175.009995,174.299362,117632400
169,2017-12-25,170.800003,171.850006,169.220001,169.229996,168.542831,97163800
170,2018-01-01,170.16000400000001,175.369995,169.259995,175.0,174.289398,101168400
171,2018-01-08,174.350006,177.360001,173.0,177.08999599999999,176.370911,110197500
172,2018-01-15,177.899994,180.100006,175.070007,178.46000700000002,177.735352,127571200
173,2018-01-22,177.300003,179.440002,170.059998,171.509995,170.813568,191574800
174,2018-01-29,170.16000400000001,170.16000400000001,160.100006,160.5,159.848282,262992100
175,2018-02-05,159.100006,163.880005,150.240005,156.41000400000001,155.774887,317654000
176,2018-02-12,158.5,174.820007,157.509995,172.429993,172.429993,225336900
177,2018-02-19,172.050003,175.649994,171.009995,175.5,175.5,136206400
178,2018-02-26,176.350006,180.619995,172.449997,176.21000700000002,176.21000700000002,202128400
179,2018-03-05,175.21000700000002,180.0,174.270004,179.979996,179.979996,139852700
180,2018-03-12,180.28999299999998,183.5,177.619995,178.020004,178.020004,155417500
181,2018-03-19,177.320007,177.470001,164.940002,164.940002,164.940002,172670700
182,2018-03-26,168.070007,175.149994,165.190002,167.779999,167.779999,157898400
183,2018-03-29,167.804993,171.75,166.899994,167.779999,167.779999,38398505
